kp,ki,kd,completed,completion_rate,mean_distance_m,mean_itae,mean_saturation_fraction
1.2263985657284837,0.026326522827873622,2.4615478716510757,99,1.0,0.052501798788710155,14.250660945719208,0.09125326775921493
2.642858667120724,2.767486760372462,2.3877329777338923,97,0.9797979797979798,0.03134999478820681,7.6535948137919805,0.10641290275734529
0.5403158721729296,0.0,0.4539201510821716,97,0.9797979797979798,0.12728788676357788,37.58289323093853,0.02442598379958892
20.31911240200343,0.0,4.375185408208478,93,0.9393939393939394,0.018803459368876976,8.149370293596151,0.2677871595312053
13.507153348994686,0.6838202577129077,2.791057823145183,91,0.9191919191919192,0.026901108273254575,13.524856546790918,0.16245405006482197
8.78398929598462,0.0,0.9697152266018183,88,0.8888888888888888,0.03407524812028804,19.615411327383576,0.13547148905384712
2.2138599678613766,0.34357676060930764,0.36186323353165817,88,0.8888888888888888,0.08017398916788462,51.98975424216261,0.1171196750069204
28.900585819927496,2.903264319264113,4.310856618876044,87,0.8787878787878788,0.023608096281214602,15.53208080639119,0.2909111832066722
0.8297499484150496,0.0,0.03453170981600986,84,0.8484848484848485,0.14085848655568653,46.13341472044018,0.04540969617228114
0.7325647834070337,0.0,0.0,74,0.7474747474747475,0.16303146034530444,65.88238817193029,0.04757128986061896
1.0,0.0,0.0,73,0.7373737373737373,0.14418494794458744,56.27579633177322,0.06636703691368179
2.10911696887667,0.0,0.044158276251256456,68,0.6868686868686869,0.14954115874488358,182.289506819704,0.19629846329569484
2.9831313157858856,0.0,0.05815790623921936,67,0.6767676767676768,0.13856714450505603,185.0711013445333,0.24532347052895043
42.01236293280581,2.1411012319474065,4.153628260907563,66,0.6666666666666666,0.056483716470105895,78.9457392170686,0.3857668732120161
38.55469934004271,0.0,1.0700734777190715,66,0.6666666666666666,0.05775349252221717,73.91595641566651,0.44166899553281996
25.950502323412447,2.7381759960686765,1.7946293230861587,66,0.6666666666666666,0.05801041421703812,82.53832300697974,0.3284436888853538
25.0,0.5,1.0,66,0.6666666666666666,0.060077207677182165,82.80032034865133,0.35317765431745973
2.205771087264467,0.0,0.0,65,0.6565656565656566,0.1750443475488911,249.51331789873348,0.2433359648093212
18.895503643832793,4.893739422056108,0.6533844004581446,64,0.6464646464646465,0.07284124059792563,92.01241500475261,0.39640697831117233
8.0,0.0,0.3,63,0.6363636363636364,0.0964381107192777,123.18829653930436,0.32443682416786734
15.0,0.25,0.5,60,0.6060606060606061,0.08049118202059011,99.70084096490676,0.37857594218813956
