kp,ki,kd,completed,completion_rate,mean_distance_m,mean_itae,mean_saturation_fraction
26.0,0.5,4.4,91,0.9191919191919192,0.019293274080035224,9.590859549230897,0.27895470921412224
20.0,0.5,4.4,93,0.9393939393939394,0.019995695149405534,8.979391139897729,0.2684475809642556
20.0,0.0,4.4,91,0.9191919191919192,0.02371503709809993,11.038903241875843,0.27033493891160504
26.0,0.0,4.4,91,0.9191919191919192,0.02517260844780006,12.973820115986443,0.2791402876577607
34.0,0.0,4.4,80,0.8080808080808081,0.03377382047096249,59.410408263514725,0.33167591763976756
34.0,0.5,4.4,77,0.7777777777777778,0.03725545203784565,57.024528158506854,0.3424332947483234
42.0,0.0,4.4,67,0.6767676767676768,0.04781388527486656,75.41519656632218,0.387348183928169
42.0,0.5,4.4,66,0.6666666666666666,0.05365318278807816,88.76199065732744,0.3961866494189885
50.0,0.0,4.4,66,0.6666666666666666,0.05512974471413442,80.85047986212624,0.40412994043794326
50.0,0.5,4.4,66,0.6666666666666666,0.05835948144232576,89.1920201992559,0.40537772939280636
